"﻿AGNO","RBD","DGV_RBD","NOM_RBD","MRUN","RUT_SOSTENEDOR","P_JURIDICA","COD_REG_RBD","NOM_REG_RBD_A","COD_PRO_RBD","COD_COM_RBD","NOM_COM_RBD","COD_DEPROV_RBD","NOM_DEPROV_RBD","COD_DEPE","COD_DEPE2","RURAL_RBD","LATITUD","LONGITUD","CONVENIO_PIE","ENS_01","ENS_02","ENS_03","ENS_04","ENS_05","ENS_06","ENS_07","ENS_08","ENS_09","ENS_10","ENS_11","MATRICULA","ESTADO_ESTAB","ORI_RELIGIOSA","ORI_OTRO_GLOSA","PAGO_MATRICULA","PAGO_MENSUAL"
"2019","1119","3","COLEGIO PARTICULAR SANTA MARIA","","70385600","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","3","2","0","-32,448455060000","-71,233426310000","1","110","310","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1120","7","CENTRO DE EDUCACION DE ADULTOS LA LIGUA","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","0","-32,446517940000","-71,230949400000","0","167","363","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1121","5","LICEO PULMAHUE DE LA LIGUA","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","0","-32,445846560000","-71,230651860000","1","299","310","410","510","610","0","0","0","0","0","0","1","1","1","","GRATUITO","GRATUITO"
"2019","1122","3","ESCUELA REPUBLICA DE VENEZUELA","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","0","-32,449710850000","-71,229782100000","1","10","110","0","0","0","0","0","0","0","0","0","1","1","1","","GRATUITO","GRATUITO"
"2019","1123","1","ESCUELA GABRIELA MISTRAL","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","0","-32,449783330000","-71,232131960000","1","10","110","310","0","0","0","0","0","0","0","0","1","1","1","","GRATUITO","GRATUITO"
"2019","1125","8","ESCUELA DIEGO PORTALES","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","0","-32,446189880000","-71,283157350000","1","10","110","299","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1126","6","ESCUELA ESPECIAL SOL NACIENTE","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","0","-32,447074890000","-71,237342830000","0","212","0","0","0","0","0","0","0","0","0","0","1","1","7","TODAS","GRATUITO","GRATUITO"
"2019","1128","2","ESCUELA COMUNIDADES DE VALLE HERMOSO","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,448051450000","-71,226043700000","1","10","110","0","0","0","0","0","0","0","0","0","1","1","1","","GRATUITO","GRATUITO"
"2019","1129","0","ESCUELA ANGEL MENAY","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,412277220000","-71,215148930000","0","110","0","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1130","4","ESC. BASICA LOS HORNOS DE HUAQUEN","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,237564090000","-71,344955440000","0","110","0","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1131","2","ESC. BASICA CASAS VIEJAS DE LONGOTOMA","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,338924410000","-71,318733220000","0","110","0","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1132","0","ESCUELA BASICA POZA VERDE","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,392036440000","-71,376625060000","1","110","0","0","0","0","0","0","0","0","0","0","1","1","1","","GRATUITO","GRATUITO"
"2019","1133","9","ESC.BASICA LAS CASAS DE HUAQUEN","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,332412720000","-71,404457090000","1","110","0","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
"2019","1134","7","CARMEN SANCHEZ ARAYA","","69050100","1","5","VALPO","54","5401","LA LIGUA","51","QUILLOTA","2","1","1","-32,375839230000","-71,355010990000","0","110","0","0","0","0","0","0","0","0","0","0","1","1","2","","GRATUITO","GRATUITO"
